# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cpu-clock'
# Event count (approx.): 5971971966
#
# Overhead  Shared Object     Symbol                                        IPC   [IPC Coverage]
# ........  ................  ............................................  ....................
#
     0.02%  [unknown]         [k] 0xffffffffbdadca77                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbdadcaeb                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbdaf9a95                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbdb11a10                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbdbd2ba6                        -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
