# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cpu-clock'
# Event count (approx.): 16095095079
#
# Overhead  Shared Object         Symbol                                      IPC   [IPC Coverage]
# ........  ....................  ..........................................  ....................
#
     0.02%  python3.10d           [.] list_extend.lto_priv.0                  -      -            
     0.02%  python3.10d           [.] list_repeat.lto_priv.0                  -      -            
     0.02%  python3.10d           [.] list_sort_impl                          -      -            
     0.02%  python3.10d           [.] listiter_dealloc.lto_priv.0             -      -            
     0.02%  python3.10d           [.] unicode_dealloc.lto_priv.0              -      -            
     0.02%  [unknown]             [k] 0xffffffff983827e7                      -      -            
     0.02%  libc.so.6             [.] 0x00000000000a16e9                      -      -            
     0.02%  libc.so.6             [.] 0x00000000000a175b                      -      -            
     0.02%  libc.so.6             [.] 0x00000000000a3b37                      -      -            
     0.02%  libc.so.6             [.] 0x00000000000a3ec9                      -      -            
     0.02%  libc.so.6             [.] 0x00000000000a4200                      -      -            
     0.02%  libc.so.6             [.] 0x00000000000a4231                      -      -            
     0.02%  libc.so.6             [.] 0x00000000001994ef                      -      -            
     0.02%  libc.so.6             [.] 0x00000000001a08b0                      -      -            
     0.02%  libc.so.6             [.] 0x00000000001a1048                      -      -            
     0.02%  libc.so.6             [.] 0x00000000001a1089                      -      -            
     0.02%  libc.so.6             [.] 0x00000000001a109e                      -      -            
     0.02%  libc.so.6             [.] 0x00000000001a10c0                      -      -            
     0.02%  libc.so.6             [.] 0x00000000001a10f6                      -      -            
     0.02%  python3.10d           [.] PyIter_Check                            -      -            
     0.02%  python3.10d           [.] PyMem_RawMalloc                         -      -            
     0.02%  python3.10d           [.] PyNumber_Rshift                         -      -            
     0.02%  python3.10d           [.] PyUnicode_New                           -      -            
     0.02%  python3.10d           [.] _PyMem_RawFree                          -      -            
     0.02%  python3.10d           [.] _PyObject_GC_Alloc                      -      -            
     0.02%  python3.10d           [.] count_run                               -      -            
     0.02%  python3.10d           [.] merge_lo                                -      -            
     0.02%  python3.10d           [.] method_vectorcall                       -      -            
     0.02%  python3.10d           [.] 0x0000000000021104                      -      -            
     0.02%  [unknown]             [k] 0xffffffff980a93d7                      -      -            
     0.02%  [unknown]             [k] 0xffffffff980dcad4                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a1748                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a2660                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a267e                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a26dd                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a2842                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a2ce6                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3b4d                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3e91                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3f3d                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3f66                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3f7c                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a41df                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a4264                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a4518                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a4602                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001994e5                      -      -            
     0.01%  libc.so.6             [.] 0x0000000000199504                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a0880                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a088d                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a08c6                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a0a45                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a0a58                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a1080                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a10a3                      -      -            
     0.01%  python3.10d           [.] PyCMethod_New                           -      -            
     0.01%  python3.10d           [.] PyDict_SetDefault                       -      -            
     0.01%  python3.10d           [.] PyMember_GetOne                         -      -            
     0.01%  python3.10d           [.] PyObject_GC_Del                         -      -            
     0.01%  python3.10d           [.] PyObject_GetAttr                        -      -            
     0.01%  python3.10d           [.] PyObject_IsTrue                         -      -            
     0.01%  python3.10d           [.] _PyMem_RawMalloc                        -      -            
     0.01%  python3.10d           [.] add_operators.lto_priv.0                -      -            
     0.01%  python3.10d           [.] build_indices                           -      -            
     0.01%  python3.10d           [.] dict_traverse.lto_priv.0                -      -            
     0.01%  python3.10d           [.] long_invert.lto_priv.0                  -      -            
     0.01%  python3.10d           [.] merge_hi                                -      -            
     0.01%  python3.10d           [.] move_unreachable                        -      -            
     0.01%  python3.10d           [.] resolve_slotdups                        -      -            
     0.01%  python3.10d           [.] sequence_repeat                         -      -            
     0.01%  python3.10d           [.] visit_reachable                         -      -            
     0.01%  [unknown]             [k] 0xffffffff980aa232                      -      -            
     0.01%  [unknown]             [k] 0xffffffff980d6751                      -      -            
     0.01%  [unknown]             [k] 0xffffffff980dbf5d                      -      -            
     0.01%  ld-linux-x86-64.so.2  [.] 0x000000000000913c                      -      -            
     0.01%  libc.so.6             [.] fstatat64                               -      -            
     0.01%  libc.so.6             [.] pthread_cond_signal                     -      -            
     0.01%  libc.so.6             [.] pthread_self                            -      -            
     0.01%  libc.so.6             [.] tcgetattr                               -      -            
     0.01%  libc.so.6             [.] 0x00000000000a1709                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a1725                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a174d                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a2666                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a2688                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a26bb                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a26c5                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a2712                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a27c1                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a27d0                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a2817                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a2850                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a2856                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a2879                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a288a                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a2890                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a2895                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a2e77                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3970                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a397f                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3986                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3994                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3afa                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3b01                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3b19                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3b32                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3b45                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3b5d                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3b65                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3b8b                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3e57                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3e76                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3e95                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3eb4                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3ef9                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3f1a                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3f5b                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3f80                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3f87                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a3f93                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a4042                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a4044                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a40ff                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a4102                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a416f                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a41db                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a4213                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a425c                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a4268                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a426c                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a45cb                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a45d4                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a4622                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a4652                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a4697                      -      -            
     0.01%  libc.so.6             [.] 0x00000000000a4bbf                      -      -            
     0.01%  libc.so.6             [.] 0x0000000000198e91                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001994f4                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001994fc                      -      -            
     0.01%  libc.so.6             [.] 0x0000000000199500                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a08d4                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a08e2                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a09b5                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a09c4                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a09cb                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a0a37                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a0a3b                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a0a4a                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a0a6a                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a0aaf                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a1075                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a107d                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a108d                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a10a8                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a10ee                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a1120                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a1153                      -      -            
     0.01%  libc.so.6             [.] 0x00000000001a1170                      -      -            
     0.01%  libcrypto.so.3        [.] OPENSSL_LH_insert                       -      -            
     0.01%  libcrypto.so.3        [.] 0x00000000002e9806                      -      -            
     0.01%  python3.10d           [.] PyCode_NewWithPosOnlyArgs               -      -            
     0.01%  python3.10d           [.] PyDict_Next                             -      -            
     0.01%  python3.10d           [.] PyFunction_NewWithQualName              -      -            
     0.01%  python3.10d           [.] PyList_Append                           -      -            
     0.01%  python3.10d           [.] PyMem_Calloc                            -      -            
     0.01%  python3.10d           [.] PyNumber_And                            -      -            
     0.01%  python3.10d           [.] PyNumber_InPlaceSubtract                -      -            
     0.01%  python3.10d           [.] PyNumber_Multiply                       -      -            
     0.01%  python3.10d           [.] PyObject_Call                           -      -            
     0.01%  python3.10d           [.] PyObject_GetAttrString                  -      -            
     0.01%  python3.10d           [.] PyObject_GetIter                        -      -            
     0.01%  python3.10d           [.] PyObject_Str                            -      -            
     0.01%  python3.10d           [.] PyTuple_Pack                            -      -            
     0.01%  python3.10d           [.] PyType_GenericAlloc                     -      -            
     0.01%  python3.10d           [.] PyType_IsSubtype                        -      -            
     0.01%  python3.10d           [.] PyUnicode_Contains                      -      -            
     0.01%  python3.10d           [.] PyUnicode_FSConverter                   -      -            
