# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu-clock'
# Event count (approx.): 3494494491
#
# Overhead  Shared Object         Symbol                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................  ....................
#
     0.03%  python3.10d           [.] long_true_divide.lto_priv.0                        -      -            
     0.03%  python3.10d           [.] math_sqrt                                          -      -            
     0.03%  python3.10d           [.] memoryview.lto_priv.0                              -      -            
     0.03%  python3.10d           [.] meth_dealloc.lto_priv.0                            -      -            
     0.03%  python3.10d           [.] method_vectorcall_VARARGS                          -      -            
     0.03%  python3.10d           [.] move_unreachable                                   -      -            
     0.03%  python3.10d           [.] mro_implementation                                 -      -            
     0.03%  python3.10d           [.] object_richcompare.lto_priv.0                      -      -            
     0.03%  python3.10d           [.] primary_rule                                       -      -            
     0.03%  python3.10d           [.] property_dealloc.lto_priv.0                        -      -            
     0.03%  python3.10d           [.] r_byte                                             -      -            
     0.03%  python3.10d           [.] r_string                                           -      -            
     0.03%  python3.10d           [.] slotptr                                            -      -            
     0.03%  python3.10d           [.] subtract_refs                                      -      -            
     0.03%  python3.10d           [.] super_getattro.lto_priv.0                          -      -            
     0.03%  python3.10d           [.] term_rule                                          -      -            
     0.03%  python3.10d           [.] tuplehash.lto_priv.0                               -      -            
     0.03%  python3.10d           [.] type_cache_clear                                   -      -            
     0.03%  python3.10d           [.] type_getattro.lto_priv.0                           -      -            
     0.03%  python3.10d           [.] type_is_gc.lto_priv.0                              -      -            
     0.03%  python3.10d           [.] type_mro_modified                                  -      -            
     0.03%  python3.10d           [.] type_traverse.lto_priv.0                           -      -            
     0.03%  python3.10d           [.] unicode_decode_utf8.lto_priv.0                     -      -            
     0.03%  python3.10d           [.] untrack_tuples                                     -      -            
     0.03%  python3.10d           [.] wrap_setattr.lto_priv.0                            -      -            
     0.03%  python3.10d           [.] 0x0000000000021104                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8aac2e4a                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8aac4f87                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8ab0db26                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8ab5bef7                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8ab98c82                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8ab98c8d                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8ac54995                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8ac8dc9e                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8ac8ddcb                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8aca93d7                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8acab91c                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8accc6fe                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8acd00fe                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8acdab6e                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8aceaa00                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8acfa416                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8acfa677                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8acfacc6                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8acfc573                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8ad0c97d                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8ad9bcb0                                 -      -            
     0.03%  [unknown]             [k] 0xffffffff8af7fa15                                 -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
