# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cpu-clock'
# Event count (approx.): 11075075064
#
# Overhead  Shared Object         Symbol                                        IPC   [IPC Coverage]
# ........  ....................  ............................................  ....................
#
     0.02%  python3.10d           [.] PyObject_IsTrue                           -      -            
     0.02%  python3.10d           [.] PyObject_SetItem                          -      -            
     0.02%  python3.10d           [.] _PyArg_Parse_SizeT                        -      -            
     0.02%  python3.10d           [.] _PyLong_Sign                              -      -            
     0.02%  python3.10d           [.] _PyObject_Call                            -      -            
     0.02%  python3.10d           [.] _PyUnicode_FromUCS1.lto_priv.0            -      -            
     0.02%  python3.10d           [.] array_ass_item                            -      -            
     0.02%  python3.10d           [.] builtin_max                               -      -            
     0.02%  python3.10d           [.] builtin_min                               -      -            
     0.02%  python3.10d           [.] convertsimple                             -      -            
     0.02%  python3.10d           [.] fast_mod                                  -      -            
     0.02%  python3.10d           [.] float_neg.lto_priv.0                      -      -            
     0.02%  python3.10d           [.] func_clear.lto_priv.0                     -      -            
     0.02%  python3.10d           [.] gc_list_size                              -      -            
     0.02%  python3.10d           [.] listiter_dealloc.lto_priv.0               -      -            
     0.02%  python3.10d           [.] lookup_method.lto_priv.0                  -      -            
     0.02%  python3.10d           [.] move_unreachable                          -      -            
     0.02%  python3.10d           [.] pymalloc_pool_extend                      -      -            
     0.02%  python3.10d           [.] setarrayitem                              -      -            
     0.02%  python3.10d           [.] type_getattro.lto_priv.0                  -      -            
     0.02%  python3.10d           [.] update_refs                               -      -            
     0.02%  python3.10d           [.] vgetargs1                                 -      -            
     0.02%  [unknown]             [k] 0xffffffff97ec2d8a                        -      -            
     0.02%  [unknown]             [k] 0xffffffff97edeecd                        -      -            
     0.01%  ld-linux-x86-64.so.2  [.] 0x000000000000c128                        -      -            
     0.01%  ld-linux-x86-64.so.2  [.] 0x000000000000c140                        -      -            
     0.01%  libc.so.6             [.] __errno_location                          -      -            
     0.01%  libc.so.6             [.] __open64_nocancel                         -      -            
     0.01%  libc.so.6             [.] 0x00000000000a170f                        -      -            
     0.01%  libc.so.6             [.] 0x000000000019d282                        -      -            
     0.01%  libc.so.6             [.] 0x000000000019d286                        -      -            
     0.01%  libc.so.6             [.] 0x000000000019d28c                        -      -            
     0.01%  libc.so.6             [.] 0x000000000019d292                        -      -            
     0.01%  libc.so.6             [.] 0x00000000001a0850                        -      -            
     0.01%  libc.so.6             [.] 0x00000000001a0884                        -      -            
     0.01%  libc.so.6             [.] 0x00000000001a0891                        -      -            
     0.01%  libc.so.6             [.] 0x00000000001a089b                        -      -            
     0.01%  libc.so.6             [.] 0x00000000001a08a5                        -      -            
     0.01%  libc.so.6             [.] 0x00000000001a08b0                        -      -            
     0.01%  libc.so.6             [.] 0x00000000001a08e2                        -      -            
     0.01%  libc.so.6             [.] 0x00000000001a0b24                        -      -            
     0.01%  libc.so.6             [.] 0x00000000001a1134                        -      -            
     0.01%  libc.so.6             [.] 0x00000000001a114f                        -      -            
     0.01%  python3.10d           [.] PyCMethod_New                             -      -            
     0.01%  python3.10d           [.] PyCell_New                                -      -            
     0.01%  python3.10d           [.] PyErr_GivenExceptionMatches               -      -            
     0.01%  python3.10d           [.] PyInit__collections                       -      -            
     0.01%  python3.10d           [.] PyIter_Next                               -      -            
     0.01%  python3.10d           [.] PyLong_FromDouble                         -      -            
     0.01%  python3.10d           [.] PyMethod_New                              -      -            
     0.01%  python3.10d           [.] PyObject_GetIter                          -      -            
     0.01%  python3.10d           [.] PyObject_LengthHint                       -      -            
     0.01%  python3.10d           [.] PyUnicode_InternFromString                -      -            
     0.01%  python3.10d           [.] PyUnicode_New                             -      -            
     0.01%  python3.10d           [.] PyUnicode_RichCompare                     -      -            
     0.01%  python3.10d           [.] _PyArena_Malloc                           -      -            
     0.01%  python3.10d           [.] _PyDict_GetItemIdWithError                -      -            
     0.01%  python3.10d           [.] _PyDict_GetItem_KnownHash                 -      -            
     0.01%  python3.10d           [.] _PyDict_LoadGlobal                        -      -            
     0.01%  python3.10d           [.] _PyEval_BuiltinsFromGlobals               -      -            
     0.01%  python3.10d           [.] _PyMem_DebugRawCalloc                     -      -            
     0.01%  python3.10d           [.] _PyObject_GC_NewVar                       -      -            
     0.01%  python3.10d           [.] _PyObject_VectorcallTstate.lto_priv.23    -      -            
     0.01%  python3.10d           [.] _PyPegen_expect_token                     -      -            
     0.01%  python3.10d           [.] _PyTime_Divide                            -      -            
     0.01%  python3.10d           [.] _PyTraceBack_FromFrame                    -      -            
     0.01%  python3.10d           [.] _PyUnicodeWriter_Finish                   -      -            
     0.01%  python3.10d           [.] _PyUnicode_EqualToASCIIId                 -      -            
     0.01%  python3.10d           [.] _PyUnicode_XStrip                         -      -            
     0.01%  python3.10d           [.] _Py_HashBytes                             -      -            
     0.01%  python3.10d           [.] _copy_characters                          -      -            
     0.01%  python3.10d           [.] _loop0_100_rule.lto_priv.0                -      -            
     0.01%  python3.10d           [.] all_name_chars                            -      -            
     0.01%  python3.10d           [.] array_ass_subscr                          -      -            
     0.01%  python3.10d           [.] array_new                                 -      -            
     0.01%  python3.10d           [.] ascii_decode.lto_priv.0                   -      -            
     0.01%  python3.10d           [.] assemble_emit                             -      -            
     0.01%  python3.10d           [.] builtin_abs                               -      -            
     0.01%  python3.10d           [.] cell_dealloc.lto_priv.0                   -      -            
     0.01%  python3.10d           [.] cfunction_vectorcall_FASTCALL.lto_priv.0  -      -            
     0.01%  python3.10d           [.] cleanreturn                               -      -            
     0.01%  python3.10d           [.] delitem_common                            -      -            
     0.01%  python3.10d           [.] dict_merge                                -      -            
     0.01%  python3.10d           [.] ensure_unicode.lto_priv.0                 -      -            
     0.01%  python3.10d           [.] fixup_slot_dispatchers.lto_priv.0         -      -            
     0.01%  python3.10d           [.] frozenset_vectorcall.lto_priv.0           -      -            
     0.01%  python3.10d           [.] func_dealloc.lto_priv.0                   -      -            
     0.01%  python3.10d           [.] gc_collect_main                           -      -            
     0.01%  python3.10d           [.] get_bytes_state.lto_priv.0                -      -            
     0.01%  python3.10d           [.] has_legacy_finalizer                      -      -            
     0.01%  python3.10d           [.] inherit_slots                             -      -            
     0.01%  python3.10d           [.] insert_to_usedpool                        -      -            
     0.01%  python3.10d           [.] intern_string_constants                   -      -            
     0.01%  python3.10d           [.] list_extend.lto_priv.0                    -      -            
     0.01%  python3.10d           [.] list_sort_impl                            -      -            
     0.01%  python3.10d           [.] long_and.lto_priv.0                       -      -            
     0.01%  python3.10d           [.] long_compare.lto_priv.0                   -      -            
     0.01%  python3.10d           [.] long_new_impl.lto_priv.0                  -      -            
     0.01%  python3.10d           [.] long_richcompare.lto_priv.0               -      -            
     0.01%  python3.10d           [.] member_get.lto_priv.0                     -      -            
     0.01%  python3.10d           [.] method_vectorcall_O                       -      -            
     0.01%  python3.10d           [.] module_getattro.lto_priv.0                -      -            
     0.01%  python3.10d           [.] named_expression_rule.lto_priv.0          -      -            
     0.01%  python3.10d           [.] object_init.lto_priv.0                    -      -            
     0.01%  python3.10d           [.] os_sysconf.lto_priv.0                     -      -            
     0.01%  python3.10d           [.] r_long                                    -      -            
     0.01%  python3.10d           [.] r_object                                  -      -            
     0.01%  python3.10d           [.] r_string                                  -      -            
     0.01%  python3.10d           [.] resolve_slotdups                          -      -            
     0.01%  python3.10d           [.] set_add_key                               -      -            
     0.01%  python3.10d           [.] set_table_resize                          -      -            
     0.01%  python3.10d           [.] slot_tp_new                               -      -            
     0.01%  python3.10d           [.] slotptr                                   -      -            
     0.01%  python3.10d           [.] symtable_visit_expr                       -      -            
     0.01%  python3.10d           [.] take_gil                                  -      -            
     0.01%  python3.10d           [.] tupleiter_dealloc.lto_priv.0              -      -            
     0.01%  python3.10d           [.] tuplesubscript.lto_priv.0                 -      -            
     0.01%  python3.10d           [.] type_dealloc.lto_priv.0                   -      -            
     0.01%  python3.10d           [.] type_new.lto_priv.0                       -      -            
     0.01%  python3.10d           [.] unicode_fromformat_arg                    -      -            
     0.01%  python3.10d           [.] update_one_slot                           -      -            
     0.01%  python3.10d           [.] validate_expr                             -      -            
     0.01%  python3.10d           [.] 0x0000000000021104                        -      -            
     0.01%  python3.10d           [.] 0x0000000000022c54                        -      -            
     0.01%  python3.10d           [.] 0x0000000000022d00                        -      -            
     0.01%  [unknown]             [k] 0xffffffff9809d640                        -      -            
     0.01%  [unknown]             [k] 0xffffffff980a93d7                        -      -            
     0.01%  [unknown]             [k] 0xffffffff980aab62                        -      -            
     0.01%  [unknown]             [k] 0xffffffff980d5d81                        -      -            
     0.01%  [unknown]             [k] 0xffffffff980d6751                        -      -            
     0.01%  [unknown]             [k] 0xffffffff980dcad4                        -      -            
     0.01%  [unknown]             [k] 0xffffffff980fbebc                        -      -            
     0.01%  [unknown]             [k] 0xffffffff980fc573                        -      -            
     0.01%  [unknown]             [k] 0xffffffff9810ca10                        -      -            
     0.01%  [unknown]             [k] 0xffffffff98111a5f                        -      -            
     0.01%  [unknown]             [k] 0xffffffff981a961a                        -      -            
     0.01%  [unknown]             [k] 0xffffffff982ae160                        -      -            
     0.01%  [unknown]             [k] 0xffffffff98758045                        -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
